name,email,age,zipcode,gender,password,street,major
Misty Jenkins,mj1523@nittany.edu,22,85201,F,kl1qwhlb,185 E. Trenton Street ,CMPEN
Priscilla White,pw7815@nittany.edu,20,52747,M,yxkcwdgq,18 Lakeview Street ,CSE
Jules Oberbrunner,jo5683@nittany.edu,21,52728,F,e83hpu1t,708 York Dr. ,IST
King Lebsack,kl1348@nittany.edu,18,31906,F,8wb1rxkk,251 West Sheffield Drive ,STAT
Naomie Sporer,ns2358@nittany.edu,21,50116,F,vhqlpsxm,461 Heather Street ,EE
Vladimir Reichert,vr4622@nittany.edu,19,32359,M,x1pcj1lj,7529 Old Sunset Road ,MATH
Milford Koepp,mk1572@nittany.edu,20,93260,M,0mw55wlu,9659 Rosewood Drive ,STAT
Trent Schamberger,ts5040@nittany.edu,22,96038,M,nu5j89vv,8687 N. Sleepy Hollow Court ,IST
Meredith Jenkins,mj1117@nittany.edu,20,51555,F,b7vlqf67,119 Harvey Street ,MATH
Kaci Parker,kp5214@nittany.edu,20,85706,F,7ju36d6x,608 North Addison St. ,MATH
Macey Emmerich,me4221@nittany.edu,20,32626,F,3bo30fmd,9408 Anderson Court ,PHYS
Lambert Hermiston,lh8743@nittany.edu,20,52335,F,7w0nvvdk,63 Lake Forest Road ,DS
Kale Ankunding,ka6770@nittany.edu,19,50254,M,zueofsd7,963 Court Road ,CMPEN
Wiley Anderson,wa5135@nittany.edu,18,33924,F,w243ok57,9236 El Dorado St. ,DS
Liam Adams,la7071@nittany.edu,20,32968,M,vbh4oyvh,185 E. Trenton Street ,CHEM
Kaci Lynch,kl9753@nittany.edu,19,32607,F,cv1y6th1,141 Gulf Rd. ,IST
Jett Hamill,jh3336@nittany.edu,21,31823,F,s3hc5no3,8378 West Pulaski Ave. ,CHEM
Simone Brekke,sb1972@nittany.edu,19,39845,M,j7r0a57m,308 Mammoth Dr. ,CHEM
Keshaun Bailey DDS,kb3574@nittany.edu,18,85381,F,rra42qn8,608 North Addison St. ,DS
Lavon VonRueden,lv3076@nittany.edu,22,81023,F,v7zygrtm,8378 West Pulaski Ave. ,CHEM
Max Trantow,mt4811@nittany.edu,21,83254,M,wsm19ofu,7764 Union Avenue ,CMPEN
Zetta Predovic,zp7831@nittany.edu,20,67801,F,d3dgrdyb,8401 Green Rd. ,CSE
Meredith Runolfsdottir,mr1020@nittany.edu,21,91763,F,7parpwv4,119 Harvey Street ,IST
Westley Smith,ws6593@nittany.edu,21,32162,F,teicrr0i,120 Heritage Lane ,ECON
Laura Windler,lw8769@nittany.edu,22,47868,F,4zg52bmc,7450 West Manchester Street ,DS
Mrs. Shaylee Grady,ms6765@nittany.edu,22,51026,F,r5rdlt3p,232 W. Homewood Ave. ,MATH
Modesto Jast,mj9606@nittany.edu,22,80442,M,hqz70t65,232 W. Homewood Ave. ,CMPSC
Jayson Conroy,jc4011@nittany.edu,20,93722,M,eo12cwf1,91 S. Gartner Street ,CHEM
Maia Jaskolski,mj5224@nittany.edu,20,52228,F,1ugb9cmy,63 Lake Forest Road ,CMPSC
Jeramie Zieme,jz6925@nittany.edu,18,33521,F,k5yvaa0l,182 Spring Street ,PHYS
Vergie Olson I,vo6259@nittany.edu,19,66748,F,2bydpo29,655 East Branch Dr. ,CMPEN
Katarina Stroman,ks3998@nittany.edu,20,50167,F,rhxt4g5n,8401 Green Rd. ,STAT
Mr. Tyra Kertzmann,mt3231@nittany.edu,18,46704,F,exvtqnja,8378 West Pulaski Ave. ,CSE
Wilhelm Schroeder,ws8716@nittany.edu,20,62907,M,zypbenkp,141 Gulf Rd. ,CMPSC
Mrs. Darren Stokes,md7627@nittany.edu,20,72828,F,uv6lyhx1,141 Gulf Rd. ,CMPEN
Tiffany Hintz,th2610@nittany.edu,18,30004,M,h9on7qnt,798 North Euclid Drive ,ECON
Meggie Heaney,mh8661@nittany.edu,18,33744,M,62pu6wfu,6 Andover Dr. ,STAT
Valentin Koch,vk8864@nittany.edu,21,71865,M,651y3i92,6 Andover Dr. ,ECON
Magnolia Hauck,mh3437@nittany.edu,21,20037,M,un370oka,251 West Sheffield Drive ,ECON
Willy Witting,ww9231@nittany.edu,21,67625,F,kj60tdn2,453 North Elm Dr. ,MATH
Mertie Kessler,mk1676@nittany.edu,18,85029,M,85455s3q,7529 Old Sunset Road ,MATH
Ubaldo Brakus,ub9586@nittany.edu,19,80914,F,x506uggh,26 Johnson St. ,IST
Lorenza Herzog,lh6961@nittany.edu,19,61320,M,v3gdwdc5,4 Old Academy Drive ,CSE
Kassandra Feeney,kf5693@nittany.edu,18,52041,M,kugxq36s,639 Princeton Rd. ,IST
Sarina Brakus,sb2082@nittany.edu,21,95350,M,wxsmyx7m,358 Marvon Ave. ,IST
Ms. Novella Leannon,mn2870@nittany.edu,19,85924,M,jp6g9t7o,26 Johnson St. ,MATH
Ulices Greenholt,ug5112@nittany.edu,22,93226,F,dxkepcty,863 Stillwater Road ,CMPSC
Trisha Kutch,tk1529@nittany.edu,20,62294,M,qecf5aq9,708 York Dr. ,IST
Isadore Bednar,ib2806@nittany.edu,19,6114,M,uua3sa2w,9408 Anderson Court ,CMPEN
Oda Satterfield III,os7226@nittany.edu,18,32065,M,mjn5h1ar,55 Hall St. ,CMPSC
Niko Effertz,ne9599@nittany.edu,19,61605,M,zyidgkic,26 Johnson St. ,IST
Vivian Grady,vg5084@nittany.edu,20,52336,M,mngwzy70,608 North Addison St. ,ECON
Mr. Rashad Haley,mr5670@nittany.edu,18,95841,M,64l3koc2,63 Lake Forest Road ,CMPEN
Kyler Marvin,km6416@nittany.edu,22,30734,F,ogioyglf,336 Myrtle Street ,EE
Sarai Jakubowski,sj7472@nittany.edu,22,52202,M,s90gbel7,9420 Tallwood Street ,PHYS
Wilfrid Rath,wr1679@nittany.edu,21,83354,M,aqiwjran,9420 Tallwood Street ,CMPSC
Mr. Rosario Breitenberg,mr8602@nittany.edu,21,67144,F,wdej56s0,7 Arch Court ,CHEM
Miss Alayna Simonis,ma8046@nittany.edu,18,51631,M,a771edmk,7764 Union Avenue ,ECON
Melissa Green,mg1007@nittany.edu,22,72959,F,0chfsvgv,9236 El Dorado St. ,CHEM
Lauryn Hayes,lh3004@nittany.edu,19,92595,F,yc5lx7ko,78 South Brewery Ave. ,PHYS
Zachariah Ritchie,zr6066@nittany.edu,19,32835,M,ox4oj6bk,7764 Union Avenue ,PHYS
Jayde Gutkowski,jg5906@nittany.edu,21,33165,F,ur67r649,863 Stillwater Road ,PHYS
Oral Kozey,ok5696@nittany.edu,21,93013,M,w4lw74bb,78 South Brewery Ave. ,PHYS
Michael Weber,mw5391@nittany.edu,20,95606,F,gw0fvr67,285 Dogwood Drive ,CHEM
Skyla Maggio,sm5970@nittany.edu,22,62049,M,vxoiplyk,780 East Redwood Drive ,CSE
Ms. Nickolas Stoltenberg,mn6897@nittany.edu,22,60410,M,v0ao01h6,8401 Green Rd. ,CMPSC
Rosanna Mayer,rm8553@nittany.edu,19,6070,F,hvp8c1pa,8131 Elizabeth Ave. ,ECON
Jaiden Little,jl5459@nittany.edu,19,72856,M,0plitcjo,185 E. Trenton Street ,CSE
Ms. Lindsay Trantow,ml1743@nittany.edu,18,80612,F,y5vg4l0f,9659 Rosewood Drive ,DS
Pierce Hettinger,ph1773@nittany.edu,21,72434,F,ri2ema2v,798 North Euclid Drive ,CSE
Mr. Alexandria Graham,ma8953@nittany.edu,18,46771,M,c4mxuuqi,55 Hall St. ,CHEM
Pearlie Purdy,pp2997@nittany.edu,19,96120,F,o1fefu43,639 Princeton Rd. ,ECON
Vada Kerluke,vk7408@nittany.edu,20,51572,M,ids1tqkg,780 East Redwood Drive ,STAT
Raymond Oberbrunner Sr.,ro9937@nittany.edu,20,80477,M,ekfvrwnv,308 Mammoth Dr. ,EE
Tess Farrell,tf2405@nittany.edu,18,6078,M,bbub3bn6,495 Jockey Hollow Ave. ,STAT
Providenci Mitchell,pm3642@nittany.edu,21,72206,M,5jaf22em,9236 El Dorado St. ,PHYS
Kaci Runolfsdottir,kr9949@nittany.edu,21,86033,F,4l677h7b,7 Arch Court ,STAT
Mr. Tyshawn Rice,mt2086@nittany.edu,18,94102,F,lugv35xs,63 Lake Forest Road ,CHEM
Tremaine Williamson DDS,tw6502@nittany.edu,20,72553,F,v8vwyn9u,259 Cleveland Road ,ECON
Ova Legros,ol7450@nittany.edu,19,50430,F,sjh2j7al,120 Heritage Lane ,ECON
Jasen Walker IV,jw6319@nittany.edu,22,72553,F,7b5mmk0k,87 Vermont St. ,CMPSC
Orie Kunde,ok8829@nittany.edu,21,81650,F,0mtlfueb,88 Harrison Street ,EE
Pablo Shields,ps1087@nittany.edu,18,33455,M,0btsy90l,251 West Sheffield Drive ,MATH
Mrs. Paolo Runolfsdottir,mp7952@nittany.edu,20,81624,F,yvw13vva,259 Cleveland Road ,MATH
Stuart Murray,sm5549@nittany.edu,21,91948,M,4ubv2rui,7450 West Manchester Street ,IST
Timothy Dibbert V,td2477@nittany.edu,20,80863,M,jqnrvtrh,7297 Applegate St. ,MATH
Shania Mayer II,sm8842@nittany.edu,18,80498,M,evr5of46,8985 Cambridge Ave. ,PHYS
Jolie Pagac,jp5962@nittany.edu,20,50212,M,glomie2r,461 Heather Street ,ECON
Miss Garfield Considine,mg1791@nittany.edu,18,90210,M,97wpdce3,361 E. Sierra Street ,CMPSC
Stephania Gusikowski,sg1979@nittany.edu,19,46048,M,l1gmkdot,358 Marvon Ave. ,PHYS
Lauretta Ortiz,lo3428@nittany.edu,19,33158,M,2egyxxlf,780 East Redwood Drive ,PHYS
Ms. Luisa Hackett,ml7753@nittany.edu,21,96863,F,njqkhbk1,182 Spring Street ,CMPEN
Jarrett Strosin,js3927@nittany.edu,19,51006,M,9omxaej6,358 Marvon Ave. ,CMPSC
Miss Erika Champlin,me9897@nittany.edu,21,46992,M,wlbwyq0u,55 Hall St. ,EE
Ms. Broderick Rosenbaum,mb5390@nittany.edu,20,96073,F,x55rpyay,8687 N. Sleepy Hollow Court ,STAT
Sage Gottlieb,sg4417@nittany.edu,22,46740,F,uspynxlx,91 S. Gartner Street ,STAT
Laverne Toy,lt7103@nittany.edu,21,61333,M,du9dnihl,26 Johnson St. ,IST
Piper Turner,pt3035@nittany.edu,18,6804,M,lygiglih,3 North Linden Ave. ,ECON
Wilhelm Cremin DDS,wc1418@nittany.edu,19,83706,F,7pvgb1zz,963 Court Road ,CMPEN
Miss Marcella Corkery,mm2047@nittany.edu,19,72908,M,v4zb3jgz,9599 La Sierra St. ,ECON
Mr. Amely Brown,ma4242@nittany.edu,20,83839,M,jvu0nzlk,7764 Union Avenue ,PHYS
Jensen Nitzsche,jn3590@nittany.edu,22,83254,F,qb44g4dk,266 Second Street ,ECON
Miss Harmony Smitham,mh4972@nittany.edu,22,33157,F,2n5005op,285 Dogwood Drive ,CMPSC
Jordan Hilpert,jh3004@nittany.edu,19,71933,M,t4lokykc,9599 La Sierra St. ,ECON
Shea Pacocha,sp7638@nittany.edu,21,60619,M,fsrrus7y,9599 La Sierra St. ,EE
Vivienne Nolan,vn4576@nittany.edu,18,93669,M,vv66g921,259 Cleveland Road ,ECON
Mr. Jamie Rolfson,mj2446@nittany.edu,19,62671,M,ucjic0w9,308 Mammoth Dr. ,CMPEN
Mollie Hegmann,mh9005@nittany.edu,20,30683,M,k6oyux03,3 North Linden Ave. ,CMPEN
Mariano Price,mp5777@nittany.edu,19,61256,F,michr3i2,863 Stillwater Road ,DS
Mrs. Jamarcus Hintz,mj1886@nittany.edu,22,34683,F,5n7v2kpx,78 South Brewery Ave. ,IST
Mrs. Pedro Hyatt,mp5980@nittany.edu,18,95922,M,b0ik492k,87 Vermont St. ,CMPSC
Mr. Rebeca Zieme,mr7087@nittany.edu,20,91361,F,k0nmx856,8687 N. Sleepy Hollow Court ,STAT
Kamren Keebler,kk1267@nittany.edu,21,47863,M,erpw7yc1,863 Stillwater Road ,CMPEN
Jaden Mayer,jm7206@nittany.edu,22,72082,F,t3cc9z99,185 E. Trenton Street ,DS
Mrs. Murphy Torp,mm8916@nittany.edu,18,61863,M,zhficzyu,141 Gulf Rd. ,CMPEN
Jamie Reilly,jr1301@nittany.edu,20,72438,F,kbpsbr3f,7130 Longfellow Dr. ,EE
Russell Quitzon,rq8420@nittany.edu,18,93452,M,18039p3n,963 Court Road ,MATH
Tyrell Fay,tf8025@nittany.edu,21,33407,F,5pvjbo7e,285 Dogwood Drive ,EE
Osvaldo Bogan,ob6043@nittany.edu,21,52305,M,ktfuzxp9,7130 Longfellow Dr. ,CMPEN
Jerrold Dicki,jd3188@nittany.edu,20,61041,M,9q2thys7,83 Corona Street ,ECON
Napoleon Boyer,nb5135@nittany.edu,21,62207,M,0nzzhtfv,7 Arch Court ,CMPSC
Jolie Smitham,js4888@nittany.edu,22,34237,F,j3od3n4p,453 North Elm Dr. ,CMPEN
Mrs. Trevor Brown,mt1283@nittany.edu,18,31058,M,hol7b2mw,7130 Longfellow Dr. ,PHYS
Tara Berge IV,tb4699@nittany.edu,19,62526,M,f27vzunk,182 Spring Street ,CHEM
Jaylen Feil,jf5072@nittany.edu,18,96109,F,s0ar4vzh,8401 Green Rd. ,PHYS
Mrs. Jaleel Runolfsson,mj8109@nittany.edu,20,51346,F,xoiyx6kc,8131 Elizabeth Ave. ,DS
Stefanie Legros,sl8096@nittany.edu,18,72522,F,yf61naw6,63 Lake Forest Road ,ECON
Will Gusikowski,wg1476@nittany.edu,18,31314,F,wbaj93jd,860 Wakehurst Dr. ,CHEM
Lauren Bahringer PhD,lb1184@nittany.edu,18,31560,F,dot0tf8n,78 South Brewery Ave. ,DS
Kari Weber,kw1043@nittany.edu,21,47581,F,gyuo6s68,963 Court Road ,STAT
Leola DuBuque Sr.,ld4137@nittany.edu,21,92883,F,fsj3c1kx,495 Jockey Hollow Ave. ,CMPEN
Neva Berge,nb2686@nittany.edu,22,51571,M,t3tb56et,8131 Elizabeth Ave. ,MATH
Rupert Kemmer,rk8121@nittany.edu,21,71859,M,nqr175z6,9408 Anderson Court ,CHEM
Vicenta Prosacco,vp6083@nittany.edu,22,95527,F,1ud2uqwt,655 East Branch Dr. ,CMPEN
Mr. Braulio Schultz,mb7672@nittany.edu,18,19941,F,vf1lz76e,63 Lake Forest Road ,MATH
Rubie Harvey,rh9618@nittany.edu,19,61871,M,l4kd44ir,9236 El Dorado St. ,STAT
Levi Willms,lw7685@nittany.edu,18,92321,M,7m8mr0xn,7764 Union Avenue ,MATH
Mckayla Eichmann,me6698@nittany.edu,22,51350,F,ffb2ht7r,120 Heritage Lane ,MATH
Marjory Pfeffer,mp7693@nittany.edu,20,52728,M,o3dr5v73,9236 El Dorado St. ,PHYS
Una Stark PhD,us6442@nittany.edu,21,30082,M,l35tyonq,358 Marvon Ave. ,STAT
Miss Adolfo Lesch,ma9983@nittany.edu,21,33442,F,yd06ojzw,358 Marvon Ave. ,CSE
Marisol Konopelski,mk7105@nittany.edu,22,60408,M,324dzpe5,7529 Old Sunset Road ,MATH
Ms. Adrianna Hahn,ma3822@nittany.edu,18,51010,M,puhwjytc,639 Princeton Rd. ,STAT
Verner Yundt,vy1999@nittany.edu,22,60475,F,4dd4cw3t,141 Gulf Rd. ,EE
Lionel West,lw8160@nittany.edu,19,93531,M,psuozril,26 Johnson St. ,IST
Noah Moore,nm4783@nittany.edu,20,71730,F,iy1zte43,8985 Cambridge Ave. ,PHYS
Nestor Baumbach PhD,nb4212@nittany.edu,22,60503,F,t317pzht,87 Vermont St. ,CHEM
Marisa Schaden,ms9882@nittany.edu,19,47453,F,ap6zwdg6,7130 Longfellow Dr. ,PHYS
Miracle Kerluke,mk2377@nittany.edu,18,62002,F,m7rl0est,7297 Applegate St. ,ECON
Roxane Watsica,rw1366@nittany.edu,19,71913,M,wzrfyu4b,3 North Linden Ave. ,MATH
Marianna Runolfsdottir,mr5319@nittany.edu,18,93950,F,boobfpsc,141 Gulf Rd. ,STAT
Kaylah Zieme,kz9097@nittany.edu,20,6016,F,93fazlav,639 Princeton Rd. ,CMPEN
Marques Langworth,ml7288@nittany.edu,21,95237,F,8u9m3vy0,120 Heritage Lane ,ECON
Jayson Doyle,jd5932@nittany.edu,19,34442,F,hm6f5dki,655 East Branch Dr. ,CSE
Lexie Kuphal,lk1182@nittany.edu,21,92672,M,i86a0wes,9236 El Dorado St. ,CMPEN
Jedediah Koch,jk1331@nittany.edu,20,95492,M,9xsuk73g,7297 Applegate St. ,DS
Josue Weber,jw9436@nittany.edu,20,72201,M,vzbjdv3k,4 Old Academy Drive ,MATH
Zane Wunsch III,zw5425@nittany.edu,19,72031,F,azwrgwfc,8131 Elizabeth Ave. ,ECON
Juana Kris MD,jk5021@nittany.edu,21,60448,M,mok0ne4f,18 Lakeview Street ,CMPEN
Mr. Nicole Raynor,mn1003@nittany.edu,22,81430,F,9w0dzvox,3 North Linden Ave. ,PHYS
Patience Hackett,ph8799@nittany.edu,22,95816,M,vi91ma60,9420 Tallwood Street ,IST
Jessy Leannon,jl8774@nittany.edu,19,93664,F,cort4ur0,7 Arch Court ,PHYS
Mattie Jerde,mj7408@nittany.edu,21,80122,F,n1dy26kb,7195 North Canterbury Circle ,PHYS
Nils Simonis,ns6501@nittany.edu,19,90241,M,dolqvilg,8401 Green Rd. ,EE
Lola Rau,lr5589@nittany.edu,19,96034,F,u6hzmqce,453 North Elm Dr. ,CHEM
Miss Esperanza Macejkovic,me5409@nittany.edu,19,91702,M,h6596pmb,185 E. Trenton Street ,IST
Mrs. Ciara Watsica,mc9096@nittany.edu,18,31789,F,9e902fh5,461 Heather Street ,DS
Jeramy Kessler,jk4116@nittany.edu,19,50439,F,tc7wzen5,9498 Newport Ave. ,EE
Kim Brown,kb9285@nittany.edu,22,93624,F,bb20e3eo,182 Spring Street ,MATH
Kiley Quitzon,kq6968@nittany.edu,19,66418,M,ncauyhl8,860 Wakehurst Dr. ,MATH
Miss Jaeden Wehner,mj6957@nittany.edu,18,30233,F,50ios7oc,6 Andover Dr. ,CHEM
Trenton Price,tp4444@nittany.edu,22,80498,F,7xngmflx,185 E. Trenton Street ,CHEM
Mrs. Elvie Langosh,me6706@nittany.edu,22,61091,M,koq3w7uq,91 S. Gartner Street ,MATH
Kyler Becker,kb8171@nittany.edu,19,66732,F,qaim4nyr,9408 Anderson Court ,PHYS
Selmer Romaguera V,sr6321@nittany.edu,18,61364,M,y8ctfvas,185 E. Trenton Street ,IST
Jedediah Hahn,jh1737@nittany.edu,18,33068,M,r3fjawr3,7195 North Canterbury Circle ,DS
Sedrick Prosacco,sp1616@nittany.edu,22,51652,M,ml2h208b,8985 Cambridge Ave. ,PHYS
Phoebe Murazik I,pm4249@nittany.edu,19,62987,F,7lkh0drk,285 Dogwood Drive ,DS
Turner Leffler,tl1139@nittany.edu,21,81001,F,aw578ax6,453 North Elm Dr. ,CSE
Izabella Murphy,im1645@nittany.edu,21,60920,M,9fxd7jbx,7 Arch Court ,PHYS
Spencer Doyle,sd6073@nittany.edu,18,31709,M,h4s07rdo,860 Wakehurst Dr. ,ECON
Penelope Okuneva,po7371@nittany.edu,21,50633,M,ip7d5auz,55 Hall St. ,MATH
Wilburn O'Reilly Jr.,wo4044@nittany.edu,20,62976,M,763l3i7c,91 S. Gartner Street ,DS
Mr. Citlalli Kirlin,mc4662@nittany.edu,20,32117,M,29h5hyri,9408 Anderson Court ,CSE
Mossie Marks,mm9624@nittany.edu,18,19707,M,qn3gf4jy,182 Spring Street ,IST
Ned Bechtelar,nb6183@nittany.edu,22,51445,F,0st9amrk,232 W. Homewood Ave. ,STAT
Miss Mireya Dach,mm4674@nittany.edu,21,93513,F,g7du1ojo,88 Harrison Street ,EE
Virginia Hoppe,vh5298@nittany.edu,18,34450,M,xq61mjeu,336 Myrtle Street ,CMPEN
Miss Idell McLaughlin,mi2648@nittany.edu,22,83285,M,m8xeqokb,7130 Longfellow Dr. ,STAT
Janet Streich,js3229@nittany.edu,19,72567,F,e96c7keo,266 Second Street ,MATH
Martina Trantow,mt2801@nittany.edu,20,30752,M,bo0jngmw,336 Myrtle Street ,MATH
Octavia Hane,oh9599@nittany.edu,19,47847,F,f82kxu02,7764 Union Avenue ,DS
Jeremy Boyer,jb9306@nittany.edu,20,33476,F,v9ssce9g,655 East Branch Dr. ,CMPEN
Juana Cronin,jc1462@nittany.edu,21,47455,M,q9d9s6dq,7195 North Canterbury Circle ,DS
Kane Satterfield,ks1926@nittany.edu,18,90001,F,sl8woypo,7529 Old Sunset Road ,CHEM
Stephon Bernier,sb5646@nittany.edu,22,6469,M,2vzzya36,9599 La Sierra St. ,CSE
Mr. Rudolph Littel,mr3116@nittany.edu,21,46301,F,l9hbj48g,9659 Rosewood Drive ,IST
Sonya Nitzsche,sn9491@nittany.edu,20,61438,F,5yi7x0eo,78 South Brewery Ave. ,ECON
Mr. Gudrun Dickinson,mg7684@nittany.edu,18,46011,F,rl2cp87v,8687 N. Sleepy Hollow Court ,CMPEN
Orland Rau,or2228@nittany.edu,18,92337,M,kvn8iy42,9659 Rosewood Drive ,CMPEN
Mrs. Deanna Wuckert,md6611@nittany.edu,20,92267,M,vtosgz5l,780 East Redwood Drive ,CHEM
Jarred Kutch,jk4027@nittany.edu,18,81141,F,s5sdwxe9,3 North Linden Ave. ,CMPSC
Karine Davis,kd4323@nittany.edu,22,90660,F,ky47f40i,708 York Dr. ,CSE
Miss Ottilie Dooley,mo4621@nittany.edu,19,72821,M,yj2pbwup,285 Dogwood Drive ,CMPEN
Miss Guy Nader,mg4093@nittany.edu,21,95463,F,2ah4ktzw,9236 El Dorado St. ,CSE
Nikolas Moen,nm3617@nittany.edu,18,34232,F,vlzywpvf,9408 Anderson Court ,CSE
Sydnie Reichert,sr9640@nittany.edu,19,62643,M,iplj2xy6,9498 Newport Ave. ,CSE
Merlin Ward,mw6081@nittany.edu,20,66860,F,32646od4,798 North Euclid Drive ,PHYS
Leatha Torp,lt8326@nittany.edu,18,33403,F,ey2211w5,8378 West Pulaski Ave. ,CMPSC
Miss Bailee Bogan,mb8575@nittany.edu,19,83548,M,sh4xt2bg,119 Harvey Street ,CSE
Stuart Cruickshank,sc6597@nittany.edu,20,83836,M,l1v69w0t,9599 La Sierra St. ,EE
Ms. Alice Grady,ma8535@nittany.edu,21,94028,F,diy15lsc,7 Arch Court ,STAT
Madison Beer,mb5410@nittany.edu,18,85551,F,lb72y2as,9236 El Dorado St. ,EE
Tremayne Bode,tb1810@nittany.edu,18,51363,M,o7e5y5dx,120 Heritage Lane ,CMPEN
Jocelyn Gibson,jg7835@nittany.edu,20,81133,F,maqpunnl,7450 West Manchester Street ,CMPEN
Yesenia Cruickshank,yc8409@nittany.edu,18,6413,F,vq1nni34,9498 Newport Ave. ,ECON
Nedra Langworth DDS,nl1189@nittany.edu,20,83336,F,5aoxsizv,63 Lake Forest Road ,CMPSC
Miles Gottlieb,mg8396@nittany.edu,20,33618,M,nxo2mwgf,308 Mammoth Dr. ,ECON
Tobin Armstrong,ta4214@nittany.edu,19,46792,M,mklvq7ae,78 South Brewery Ave. ,CHEM
Jerome Carroll,jc9373@nittany.edu,22,61605,F,shhpv8p7,7 Arch Court ,CMPSC
Miss Roger Hermann,mr3131@nittany.edu,21,51440,F,02urjsak,453 North Elm Dr. ,IST
Mrs. Jarod Hauck,mj9296@nittany.edu,19,93551,F,kcu3vjig,83 Corona Street ,STAT
Lupe McClure V,lm8503@nittany.edu,21,46115,F,j2sxy242,88 Harrison Street ,IST
Ms. Tess Volkman,mt6337@nittany.edu,22,72542,M,pb0hfa5q,336 Myrtle Street ,ECON
Marcelle Orn,mo2344@nittany.edu,18,34996,M,gx3wwjpy,87 Vermont St. ,PHYS
Madeline Lowe,ml8317@nittany.edu,19,33635,F,ncjwln3k,259 Cleveland Road ,CSE
Miss Grayson Pagac,mg7641@nittany.edu,18,33129,M,dougrd3c,9659 Rosewood Drive ,CMPEN
Luisa Lynch II,ll6444@nittany.edu,20,72717,F,okou3evv,7195 North Canterbury Circle ,MATH
Ms. Donavon Ferry,md1308@nittany.edu,19,19902,F,c1tkc0cu,83 Corona Street ,PHYS
Jalen Dietrich DDS,jd5592@nittany.edu,21,52802,M,ctrbgry4,83 Corona Street ,PHYS
Stella Kohler,sk9053@nittany.edu,18,46407,F,o1kwtc35,78 South Brewery Ave. ,DS
Mrs. Trisha Flatley,mt1262@nittany.edu,20,92549,M,9pp8rq5t,308 Mammoth Dr. ,CMPEN
Mireya McKenzie,mm6682@nittany.edu,20,50648,F,scejc8la,7130 Longfellow Dr. ,STAT
Nestor Willms,nw3340@nittany.edu,18,95556,M,x6dvvxsz,7764 Union Avenue ,PHYS
Trevor Douglas,td2308@nittany.edu,18,72950,F,7t094e9g,8401 Green Rd. ,CMPEN
Jaydon Wolff III,jw3297@nittany.edu,18,92618,F,cn3jhka6,655 East Branch Dr. ,DS
Stuart Paucek,sp1402@nittany.edu,18,72438,M,m5cocubj,26 Johnson St. ,PHYS
Maeve Lindgren,ml5796@nittany.edu,21,62501,F,ui580f4n,63 Lake Forest Road ,CHEM
Keshaun Cremin,kc1302@nittany.edu,22,96708,F,v0fgasd7,78 South Brewery Ave. ,PHYS
Lorenz D'Amore,ld9084@nittany.edu,18,19733,M,ftqmprpx,361 E. Sierra Street ,CMPEN
Ottis Carter,oc9232@nittany.edu,18,31316,M,xcjcr4fc,308 Mammoth Dr. ,CHEM
Mr. Abdullah Nienow,ma9716@nittany.edu,22,86403,M,9850zhhi,26 Johnson St. ,CMPEN
Joel Hessel,jh2181@nittany.edu,18,81504,F,p90ls52s,6 Andover Dr. ,ECON
Mrs. Deangelo Larson,md7018@nittany.edu,18,6090,M,pczfi6i4,120 Heritage Lane ,MATH
Rey Mayer,rm1496@nittany.edu,21,85003,M,rqgrpbb3,4 Old Academy Drive ,CMPSC
Osvaldo Goldner,og7528@nittany.edu,21,80624,M,o3hihfsr,863 Stillwater Road ,CSE
Miss Archibald Parisian,ma8013@nittany.edu,21,47948,F,jc1yhwrz,860 Wakehurst Dr. ,PHYS
Kirk Kshlerin,kk5103@nittany.edu,22,52626,F,o27khz2d,780 East Redwood Drive ,CHEM
Jude Jakubowski,jj6204@nittany.edu,19,46039,M,vaklayln,251 West Sheffield Drive ,IST
Letitia Haley,lh7203@nittany.edu,19,6359,M,gtmrxd7b,453 North Elm Dr. ,CMPSC
Lyla Rowe,lr4974@nittany.edu,18,31747,F,krunxnsj,3 North Linden Ave. ,PHYS
Reba Rogahn Jr.,rr1861@nittany.edu,18,30168,F,fcsiw9vb,655 East Branch Dr. ,CMPEN
Xzavier Bednar,xb9185@nittany.edu,18,91905,M,fwja346l,6 Andover Dr. ,CHEM
Madalyn Beahan,mb2685@nittany.edu,22,61344,M,1alls4jn,308 Mammoth Dr. ,CMPSC
Marquise Sporer,ms6799@nittany.edu,20,92056,M,eivrd0dg,9408 Anderson Court ,DS
Lily Mayer,lm1111@nittany.edu,19,51046,M,4abor0p0,780 East Redwood Drive ,CSE
Johnpaul Adams III,ja2479@nittany.edu,19,30054,M,i8c51ca7,8985 Cambridge Ave. ,STAT
Zita Okuneva,zo2385@nittany.edu,21,62346,F,h2c0hmwx,708 York Dr. ,IST
Leone Rath,lr8600@nittany.edu,20,32445,M,ky9az1o3,7450 West Manchester Street ,STAT
Kenna Toy,kt2960@nittany.edu,22,61775,F,ciwfk9v0,55 Hall St. ,CHEM
Lesly Hamill,lh7173@nittany.edu,20,80487,M,i41crgb3,798 North Euclid Drive ,PHYS
Mona Jast,mj8696@nittany.edu,19,81321,F,bubzi73b,8401 Green Rd. ,ECON
Malachi O'Kon Sr.,mo9119@nittany.edu,21,96734,M,dg88ili6,266 Second Street ,CMPSC
